Topic,Iteration,Document#,Relevancy
1088978,0,7089373,1
1084333,0,7129284,1
1054520,0,7177755,1
1054100,0,468467,1
1046902,0,7190665,1
1044123,0,7196065,1
1042284,0,7198395,1
1036478,0,7207359,1
1033485,0,7212457,1
1032106,0,492784,1
1030543,0,7217365,1
1099736,0,7230070,1
1021925,0,7230920,1
1102404,0,7242846,1
1002197,0,7260755,1
996195,0,7272293,1
990177,0,7284857,1
988643,0,7288078,1
248922,0,2978723,1
137311,0,6739160,1
195440,0,7364279,1
365946,0,7385108,1
332682,0,7398255,1
70803,0,7404133,1
746219,0,7410599,1
415845,0,1156556,1
572309,0,7427422,1
5333,0,7428032,1
591083,0,7436513,1
618653,0,2419447,1
559976,0,7473236,1
655274,0,1670487,1
1102375,0,7500422,1
455372,0,7501886,1
25115,0,6413396,1
453686,0,5414627,1
261277,0,7553647,1
618223,0,7556521,1
1095665,0,7571894,1
25692,0,7580086,1
736619,0,361762,1
535479,0,7614067,1
234293,0,2176210,1
25496,0,7650302,1
581082,0,7677256,1
700224,0,7697238,1
136745,0,597381,1
623630,0,7708313,1
982481,0,7718430,1
902760,0,7732623,1
897476,0,7752706,1
134833,0,7782964,1
1003524,0,7815180,1
940940,0,7816450,1
953951,0,7819232,1
853078,0,7829607,1
1049079,0,7833823,1
819662,0,7837283,1
102627,0,7875009,1
1091654,0,7897164,1
781359,0,7905393,1
897002,0,7906651,1
941562,0,2667562,1
905151,0,7923875,1
344221,0,7934144,1
155119,0,7934952,1
791843,0,551596,1
100250,0,8004569,1
148708,0,8007989,1
